transaction_id,account_id,transaction_type,transaction_date,transaction_mode,transaction_amount,remarks,currency
1,171,Withdrawal,"2025-11-14 18:54:35",NEFT,49981.00,"Withdrawal transaction",INR
2,352,Loan_payment,"2025-09-08 18:54:35",Online,46776.00,"Loan_payment transaction",INR
3,206,Withdrawal,"2025-02-26 18:54:35",Cash,16851.00,"Withdrawal transaction",INR
4,107,Deposit,"2025-06-24 18:54:35",Cheque,37753.00,"Deposit transaction",INR
5,22,Withdrawal,"2025-09-26 18:54:35",Cheque,32753.00,"Withdrawal transaction",INR
6,360,Deposit,"2025-05-08 18:54:35",Online,15933.00,"Deposit transaction",INR
7,195,Transfer,"2025-09-21 18:54:35",Cheque,1736.00,"Transfer transaction",INR
8,70,Transfer,"2025-06-23 18:54:35",Online,64117.00,"Transfer transaction",INR
9,249,Withdrawal,"2025-08-29 18:54:35",Cash,5695.00,"Withdrawal transaction",INR
10,337,Loan_payment,"2025-11-21 18:54:35",Cash,65041.00,"Loan_payment transaction",INR
11,315,Deposit,"2025-03-03 18:54:35",Online,8759.00,"Deposit transaction",INR
12,140,Deposit,"2025-08-27 18:54:35",NEFT,81812.00,"Deposit transaction",INR
13,219,Transfer,"2026-02-07 18:54:35",NEFT,22178.00,"Transfer transaction",INR
14,154,Loan_payment,"2025-05-09 18:54:35",ATM,78106.00,"Loan_payment transaction",INR
15,401,Transfer,"2025-12-31 18:54:35",Online,50440.00,"Transfer transaction",INR
16,348,Withdrawal,"2025-06-23 18:54:35",Cash,79826.00,"Withdrawal transaction",INR
17,77,Withdrawal,"2025-08-21 18:54:35",ATM,97508.00,"Withdrawal transaction",INR
18,150,Transfer,"2025-09-21 18:54:35",Cash,34164.00,"Transfer transaction",INR
19,361,Deposit,"2025-03-13 18:54:35",NEFT,13214.00,"Deposit transaction",INR
20,87,Transfer,"2025-10-17 18:54:35",ATM,26811.00,"Transfer transaction",INR
21,249,Deposit,"2025-10-09 18:54:35",NEFT,99742.00,"Deposit transaction",INR
22,332,Deposit,"2025-10-31 18:54:35",Cheque,92499.00,"Deposit transaction",INR
23,110,Withdrawal,"2025-05-04 18:54:35",NEFT,44734.00,"Withdrawal transaction",INR
24,201,Loan_payment,"2025-08-16 18:54:35",Cash,6099.00,"Loan_payment transaction",INR
25,207,Withdrawal,"2025-07-19 18:54:35",Cash,98235.00,"Withdrawal transaction",INR
26,158,Transfer,"2025-08-24 18:54:35",NEFT,16735.00,"Transfer transaction",INR
27,285,Loan_payment,"2025-07-02 18:54:35",Online,98753.00,"Loan_payment transaction",INR
28,311,Deposit,"2026-02-04 18:54:35",NEFT,86687.00,"Deposit transaction",INR
29,232,Loan_payment,"2025-04-01 18:54:35",Cash,70291.00,"Loan_payment transaction",INR
30,62,Deposit,"2025-06-28 18:54:35",Cash,11330.00,"Deposit transaction",INR
31,250,Transfer,"2025-11-03 18:54:35",Cheque,10911.00,"Transfer transaction",INR
32,229,Loan_payment,"2025-03-29 18:54:35",Online,89659.00,"Loan_payment transaction",INR
33,411,Withdrawal,"2025-02-15 18:54:35",Online,28932.00,"Withdrawal transaction",INR
34,228,Deposit,"2025-10-17 18:54:35",Cash,74239.00,"Deposit transaction",INR
35,140,Withdrawal,"2025-04-13 18:54:35",Cash,68520.00,"Withdrawal transaction",INR
36,66,Loan_payment,"2025-09-21 18:54:35",Cheque,26419.00,"Loan_payment transaction",INR
37,360,Deposit,"2025-11-22 18:54:35",ATM,12285.00,"Deposit transaction",INR
38,92,Withdrawal,"2026-01-30 18:54:35",ATM,40924.00,"Withdrawal transaction",INR
39,133,Withdrawal,"2025-08-29 18:54:35",Online,47117.00,"Withdrawal transaction",INR
40,311,Withdrawal,"2025-05-25 18:54:35",Cheque,33937.00,"Withdrawal transaction",INR
41,2,Deposit,"2025-11-02 18:54:35",Cheque,83845.00,"Deposit transaction",INR
42,144,Withdrawal,"2025-07-16 18:54:35",NEFT,86774.00,"Withdrawal transaction",INR
43,96,Withdrawal,"2025-10-26 18:54:35",Cheque,39689.00,"Withdrawal transaction",INR
44,347,Transfer,"2025-09-12 18:54:35",NEFT,24935.00,"Transfer transaction",INR
45,150,Transfer,"2025-05-07 18:54:35",Cash,52420.00,"Transfer transaction",INR
46,278,Deposit,"2025-08-19 18:54:35",Cash,1033.00,"Deposit transaction",INR
47,49,Deposit,"2025-09-24 18:54:35",Online,11031.00,"Deposit transaction",INR
48,83,Transfer,"2025-04-10 18:54:35",Cash,82210.00,"Transfer transaction",INR
49,11,Loan_payment,"2025-05-10 18:54:35",Cheque,57438.00,"Loan_payment transaction",INR
50,68,Deposit,"2025-07-28 18:54:35",ATM,51098.00,"Deposit transaction",INR
51,223,Withdrawal,"2025-12-24 18:54:35",Cheque,1989.00,"Withdrawal transaction",INR
52,328,Deposit,"2025-05-11 18:54:35",Cheque,50473.00,"Deposit transaction",INR
