history_id,customer_id,branch_id,account_id,transaction_type,transaction_amount,opening_balance,closing_balance,transaction_date,transaction_mode,currency
1,12,17,34,Transfer,34818.74,6935.11,0.00,"2024-12-13 18:08:19",Online,INR
2,196,19,274,Loan_payment,80307.05,27852.79,0.00,"2024-07-05 08:24:56",Online,INR
3,190,22,142,Deposit,41039.03,56199.27,97238.30,"2024-02-21 14:00:13",Online,INR
4,50,40,79,Deposit,83655.07,67223.75,150878.82,"2025-03-09 13:23:16",ATM,INR
5,73,11,121,Transfer,70531.19,66796.62,0.00,"2024-11-21 17:50:59",Cash,INR
6,254,49,195,Loan_payment,81379.74,42454.72,0.00,"2024-04-24 19:23:27",Online,INR
7,2,13,223,Transfer,54501.23,21068.52,0.00,"2024-09-09 18:42:13",Online,INR
8,258,37,73,Deposit,51193.54,62603.20,113796.74,"2025-11-13 22:18:43",Cheque,INR
9,305,41,80,Deposit,33372.87,35485.47,68858.34,"2024-07-01 22:20:48",ATM,INR
10,118,35,68,Deposit,22777.73,76458.98,99236.71,"2025-10-28 23:31:37",Cheque,INR
11,184,45,385,Deposit,36524.15,95435.78,131959.93,"2024-05-22 02:01:43",Cheque,INR
12,270,9,116,Loan_payment,14731.33,7866.30,0.00,"2024-07-24 10:44:29",Cheque,INR
13,213,17,232,Loan_payment,44937.16,26751.16,0.00,"2025-08-22 17:50:05",Cash,INR
14,177,28,292,Loan_payment,18833.58,11709.71,0.00,"2025-11-04 01:58:39",Cheque,INR
15,166,2,400,Deposit,40023.48,77918.76,117942.24,"2024-11-21 18:56:24",Cheque,INR
16,70,2,103,Transfer,74279.95,18487.80,0.00,"2025-02-04 02:56:24",Cheque,INR
17,73,21,42,Transfer,73528.08,68908.52,0.00,"2025-07-19 23:06:33",NEFT,INR
18,62,13,223,Withdrawal,61648.20,0.00,0.00,"2025-07-21 09:02:02",Cheque,INR
19,124,19,135,Loan_payment,59340.24,16625.51,0.00,"2024-11-12 04:59:23",Cheque,INR
20,46,47,191,Withdrawal,7863.98,6434.20,0.00,"2024-04-04 09:14:58",NEFT,INR
21,270,50,197,Loan_payment,8401.29,8798.30,397.01,"2025-04-22 18:36:45",Cash,INR
22,234,5,246,Loan_payment,89434.17,98278.41,8844.24,"2025-06-25 15:10:57",NEFT,INR
23,114,18,233,Withdrawal,86496.78,3929.21,0.00,"2024-08-16 20:06:54",Cash,INR
24,113,30,58,Loan_payment,43008.43,1697.28,0.00,"2024-12-22 10:28:04",Cheque,INR
25,310,17,271,Withdrawal,77168.24,61982.41,0.00,"2025-01-12 03:09:18",Online,INR
26,186,3,402,Withdrawal,30585.89,40165.19,9579.30,"2025-09-23 23:16:28",Cash,INR
27,78,7,113,Transfer,48818.50,39136.19,0.00,"2025-10-20 04:24:32",Online,INR
28,250,9,17,Withdrawal,80400.15,53518.30,0.00,"2025-04-10 10:58:32",Cheque,INR
29,92,40,177,Transfer,51615.76,94188.89,42573.13,"2025-11-29 19:44:15",Cheque,INR
30,191,21,337,Transfer,4294.15,49543.03,45248.88,"2024-09-10 10:02:52",Cash,INR
31,261,4,403,Deposit,76902.41,41957.91,118860.32,"2025-10-29 04:27:46",ATM,INR
32,18,9,313,Loan_payment,14934.60,41712.04,26777.44,"2024-11-03 17:37:01",Cheque,INR
33,314,3,104,Withdrawal,57877.12,25126.41,0.00,"2024-07-15 01:50:05",NEFT,INR
34,278,38,371,Loan_payment,33443.42,35210.44,1767.02,"2025-08-19 02:51:57",Cheque,INR
35,199,24,47,Loan_payment,23101.23,18629.64,0.00,"2024-03-31 22:50:23",Online,INR
36,112,14,324,Withdrawal,12986.21,78813.15,65826.94,"2024-07-19 12:12:30",ATM,INR
37,261,33,65,Loan_payment,53740.87,50559.03,0.00,"2024-09-17 17:34:41",Online,INR
38,70,13,263,Loan_payment,8983.91,45966.92,36983.01,"2025-06-19 08:46:49",ATM,INR
39,289,13,26,Deposit,20171.00,1319.16,21490.16,"2024-07-26 05:47:18",Online,INR
40,204,43,184,Deposit,28239.09,78810.35,107049.44,"2025-04-19 03:23:34",ATM,INR
41,156,17,270,Transfer,33455.27,8847.18,0.00,"2024-04-23 10:23:41",ATM,INR
42,48,3,301,Loan_payment,67996.29,88105.50,20109.21,"2025-07-28 02:44:24",Online,INR
43,307,14,28,Loan_payment,18109.93,36031.74,17921.81,"2025-07-11 21:34:12",NEFT,INR
44,127,41,377,Deposit,3678.09,24215.70,27893.79,"2025-12-31 04:47:20",Cash,INR
